Глубина по стволу,Глубина по вертикали,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Синусоидальный изгиб(все операции),Спиральный изгиб(с вращением),Спиральный изгиб(без вращения),Предел натяжения,Грузоподъёмность вышки
2043.81,2036.2,-2.31,9.15,-1.63,-5.65,-25.3,-35.78,-71.57,127.32,225
2052.9,2044.07,-2.44,8.96,-1.8,-5.77,-33.49,-47.36,-94.71,127.32,225
2061.99,2051.82,-2.57,8.74,-1.97,-5.86,-32.81,-46.39,-92.78,127.32,225
2071.08,2059.41,-2.69,8.54,-2.13,-5.96,-31.22,-44.15,-88.3,127.32,225
2080.17,2066.86,-2.8,8.34,-2.29,-6.05,-21.68,-30.66,-61.32,127.32,225
2089.26,2074.19,-2.92,8.18,-2.45,-6.15,-16.72,-23.64,-47.29,127.32,225
2098.35,2081.45,-3.04,8.01,-2.61,-6.26,-24.76,-35.01,-70.02,127.32,225
2107.45,2088.64,-3.15,7.84,-2.77,-6.36,-26.13,-36.96,-73.91,127.32,225
2116.54,2095.71,-3.25,7.67,-2.92,-6.45,-34.49,-48.77,-97.53,127.32,225
2125.63,2102.65,-3.35,7.48,-3.07,-6.52,-35.86,-50.71,-101.42,127.32,225
2134.72,2109.41,-3.43,7.31,-3.21,-6.58,-36.06,-50.99,-101.98,127.32,225
2143.81,2115.95,-3.51,7.14,-3.36,-6.63,-39.71,-56.15,-112.3,127.32,225
2152.9,2122.28,-3.58,6.98,-3.49,-6.67,-34.9,-49.35,-98.7,127.32,225
2161.99,2128.39,-3.65,6.82,-3.62,-6.71,-29.79,-42.13,-84.27,127.32,225
2171.08,2134.3,-3.71,6.69,-3.75,-6.76,-29.52,-41.75,-83.49,127.32,225
2180.17,2140.04,-3.77,6.56,-3.87,-6.8,-24.79,-35.05,-70.11,127.32,225
2189.26,2145.62,-3.84,6.43,-3.99,-6.85,-25.92,-36.66,-73.31,127.32,225
2198.35,2151.09,-3.9,6.28,-4.11,-6.9,-21.32,-30.15,-60.31,127.32,225
2207.45,2156.48,-3.97,6.13,-4.23,-6.95,-29.48,-41.68,-83.37,127.32,225
2216.54,2161.75,-4.02,6.01,-4.34,-6.99,-38.29,-54.15,-108.3,127.32,225
2225.63,2166.79,-4.05,5.89,-4.45,-6.99,-36.03,-50.95,-101.9,127.32,225
2234.72,2171.57,-4.08,5.78,-4.55,-7,-36.07,-51.01,-102.02,127.32,225
2234.72,2171.57,-4.08,5.78,-4.55,-7,-45.14,-63.83,-127.67,112.53,225
2241.47,2174.97,-4.13,5.63,-4.67,-7.03,-42.8,-60.53,-121.05,112.53,225
2248.22,2178.28,-4.17,5.49,-4.79,-7.07,-46.51,-65.77,-131.55,112.53,225
2254.97,2181.47,-4.21,5.35,-4.9,-7.09,-52.78,-74.63,-149.27,112.53,225
2261.72,2184.53,-4.24,5.22,-5.01,-7.1,-52.82,-74.69,-149.39,112.53,225
2261.72,2184.53,-4.24,5.22,-5.01,-7.1,-160.28,-226.66,-453.31,581.94,225
2271.78,2188.82,-4.33,4.86,-5.27,-7.17,-160.4,-226.83,-453.65,581.94,225
2271.78,2188.82,-4.33,4.86,-5.27,-7.17,-47.99,-67.87,-135.74,112.66,225
2278.53,2191.51,-4.33,4.76,-5.36,-7.15,-43.55,-61.59,-123.18,112.66,225
2285.28,2194.05,-4.34,4.66,-5.43,-7.14,-45.14,-63.83,-127.66,112.66,225
2292.03,2196.45,-4.34,4.57,-5.5,-7.12,-42.08,-59.51,-119.03,112.66,225
2298.78,2198.71,-4.33,4.48,-5.57,-7.11,-42.11,-59.54,-119.09,112.66,225
2298.78,2198.71,-4.33,4.48,-5.57,-7.11,-32.67,-46.2,-92.39,127.32,225
2307.87,2201.55,-4.32,4.4,-5.63,-7.07,-33.06,-46.76,-93.52,127.32,225
2316.96,2204.17,-4.3,4.32,-5.68,-7.03,-26.13,-36.95,-73.91,127.32,225
2326.05,2206.59,-4.28,4.24,-5.74,-7.01,-29.42,-41.6,-83.2,127.32,225
2335.14,2208.83,-4.26,4.17,-5.78,-6.97,-19.78,-27.97,-55.93,127.32,225
2344.23,2210.9,-4.25,4.09,-5.83,-6.94,-19.08,-26.99,-53.97,127.32,225
2353.32,2212.91,-4.23,4,-5.87,-6.92,-42.99,-60.8,-121.6,127.32,225
2362.41,2214.72,-4.18,3.95,-5.91,-6.84,-52.45,-74.18,-148.35,127.32,225
2371.5,2216.19,-4.1,3.9,-5.94,-6.74,-53.78,-76.05,-152.1,127.32,225
2380.59,2217.34,-4.02,3.85,-5.97,-6.63,-53.59,-75.78,-151.56,127.32,225
2389.69,2218.14,-3.94,3.82,-5.98,-6.51,-53.33,-75.42,-150.84,127.32,225
2398.78,2218.61,-3.84,3.78,-5.99,-6.39,-48.59,-68.71,-137.42,127.32,225
2407.87,2218.74,-3.75,3.76,-6,-6.27,-15.74,-22.26,-44.52,127.32,225
2416.96,2218.74,-3.69,3.7,-6,-6.21,-18.07,-25.56,-51.12,127.32,225
2426.05,2218.74,-3.63,3.64,-6,-6.15,-21.84,-30.89,-61.77,127.32,225
2435.14,2218.75,-3.57,3.58,-6,-6.08,-23.85,-33.72,-67.45,127.32,225
2444.23,2218.76,-3.51,3.52,-6,-6.02,-23.68,-33.49,-66.97,127.32,225
2453.32,2218.77,-3.45,3.45,-6,-5.95,-19.01,-26.88,-53.75,127.32,225
2462.41,2218.77,-3.39,3.39,-6,-5.89,-15.47,-21.88,-43.75,127.32,225
